"uni","t","qC","pC"
"ctur","2005",32.8134579709964,0.842115574177656
"ctur","2006",33.7479744382118,0.840859976706311
"ctur","2007",34.6438131844154,0.866563384353574
"ctur","2008",34.9941419877208,0.871988917765361
"ctur","2009",37.9977720508698,0.864140638457468
"ctur","2010",38.2891786665102,0.906352687851035
"ctur","2011",38.4703673566675,0.934092041982333
"ctur","2012",38.7283355505444,0.972804290822934
"ctur","2013",39.3982245123667,0.974888855408796
"ctur","2014",42.0288643509214,0.974518384746745
"ctur","2015",40.743481,0.995079409145233
"ctur","2016",42.507649,0.98277717029234
"ctur","2017",45.33227,0.986833352929382
"ctur","2018",46.130736,0.992929507996578
"ctur","2019",45.884263,1.00927703687864
"ctur","2020",17.159353,1
"ctur","2021",28.110035,1.03433869790628
"ctur","2022",37.019025,1.1242302032536
"ctur","2023",45.748136,1.16122182551875
"ctur","2024",48.203061,1.19280294253512
"ctur","2025",49.130991,1.21448087623553
